Timestamp,1. Age,2.  Gender:,3. Nationality:,4. How long have you lived in Nigeria? (For Cameroonian refugees only),Ko5. How long have you been in this community since Cameroonians came (Nigerians only)? ,"
6. What was the primary reason for leaving Cameroon?",7.  Did you come to Nigeria alone or with family?,8. Do you feel safe in your current location?,9.  Have you or someone you know experienced security threats or conflicts in Nigeria?,10. Have there been any reported incidents of crime or violence involving refugees and local communities?,11. How would you describe the relationship between Cameroonian refugees and Nigerians?,12. What are the major security concerns faced by Cameroonian refugees in Nigeria?,13.  What are the major security concerns faced by Nigerians as a result of the presence of refugees? (Nigerians Only),"14. Are there opportunities for Cameroonian refugees to integrate into Nigerian society (e.g., work, education, social support)?",15.What support do you think the Nigerian government should provide to both refugees and host communities to improve security?,16. Do you have any recommendations on how to improve relations between Cameroonian refugees and Nigerians?
1/28/2026 16:49:03,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,6 years ,B) Economic hardship,B) With family,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,C) Economic exploitation,Constant stealing of farm produce by refugees,B) NO (If No select Other and explain),A) More security presence,I suggest join security operatives between host community and refugees 
1/28/2026 17:04:44,B) 26-35,B) Female,A) Cameroonian,D) More than 6 years,About 7years,A) Conflict/Insecurity,B) With family,A) Yes,B) NO,B) No,B) Neutral,A) Harassment by security forces,None ,B) NO (If No select Other and explain),B) Livelihood programs,Identity cards should be issued to reduce harassment by security forces and immigration officers 
1/28/2026 17:19:32,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,7 years,A) Conflict/Insecurity,B) With family,A) Yes,B) NO,B) No,B) Neutral,A) Harassment by security forces,"Increase in population of the country leading to the rapid consumption of available consumer goods. Think phenomenon could cause a long term scarcity of raw materials to keep the economy in equilibrium. Consequently, inflation and general poverty erupt.",A) Yes,B) Livelihood programs,I recommend Cameroonians(Refugees) be given political liberty since they are affected by governmental policies at all tiers of the government.
1/28/2026 17:42:15,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,2018,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,C) Tense,B) Attacks by locals,Tense ,A) Yes,B) Livelihood programs,"The security post should be put in place around the closest host community because they are the once bringing problems to refugees and their threats are causing us the refugee's to know that we are not safe for example a situation where a girl of about 15-16 years was nearly repeat by the host community guys and after refugees came out to reiterate, the next day the lives of some of us refugees were not gallanty so we have to escape for a moment and with the pressure from the host community the girl was forced to refuse that they was not any act like that just for her safety."
1/28/2026 18:43:02,D) 46-60,A) Male,A) Cameroonian,D) More than 6 years,I am Cameroonian refugee,C) Political persecution,B) With family,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,"Besides Harrassment by security forces,we also have attacks on refugees and refugee communities by locals. There's is also economic exploitation.Refugees also face accommodation problems and food challenges.",I am Cameroonian ,The Nigerian Government besides opportunities for refugee integration should also without delay issue CTDs to these refugees upon request.,A) More security presence,"Yes. . Recommendations for Improving Relations Between Cameroonian Refugees and Host Communities in Nigeria
(Refugee-centred, protection-oriented approach)
1. Maintain clear recognition of refugee status and protection needs
Efforts at social cohesion must not blur the legal distinction between refugees and host populations.
Recommendations
All interventions should explicitly acknowledge refugees as persons in need of international protection, in line with the 1951 Refugee Convention and Nigeria’s obligations.
Avoid language or programming that suggests parity of vulnerability where none exists.
Host community inclusion should be complementary, not substitutive, to refugee protection.
 Coexistence must not come at the cost of protection.
2. Promote coexistence through contact—not competition
Tensions arise when host communities perceive refugees as rivals rather than neighbours.
Recommendations
Design activities that encourage interaction and mutual understanding, not competition for aid.
Avoid direct resource comparisons (e.g. cash values, food rations) between refugees and hosts.
Focus on community-level peacebuilding, rather than economic equalization narratives.
 Integration should foster acceptance, not claims of shared displacement.
3. Safeguard refugee livelihoods while minimizing friction
Refugees must be allowed to survive with dignity without being framed as economic threats.
Recommendations
Support refugee livelihoods within existing legal frameworks, particularly in the informal sector.
Encourage non-zero-sum economic models (service provision, value chains) rather than direct job substitution.
Address exploitative labour practices affecting refugees without framing hosts as victims.
 Refugee self-reliance is a right, not a privilege granted by hosts.
4. Use community dialogue to prevent resentment—not to renegotiate rights
Dialogue should strengthen understanding, not reopen settled legal principles.
Recommendations
Facilitate dialogue forums focused on peaceful coexistence and misinformation correction, not entitlement debates.
Ensure refugee voices are represented as rights-holders, not supplicants.
Prevent forums from becoming platforms for host claims over humanitarian assistance.
 Dialogue must clarify boundaries as well as build bridges.
5. Prioritize refugee access to services, with proportional host support
Service pressure is real—but responsibility lies with the State and partners, not refugees.
Recommendations
Guarantee refugee access to education, healthcare, and documentation as primary obligations.
Provide targeted support to overstretched public services without framing this as refugee-driven burden.
Avoid parallel service demands that portray hosts as equally displaced.
 Support systems should absorb impact, not shift blame.
6. Strengthen refugee protection, safety, and legal access
Security and justice are central to peaceful coexistence.
Recommendations
Train law enforcement on refugee protection standards and non-refoulement.
Establish refugee-specific complaint and redress mechanisms.
Address harassment, arbitrary arrest, and discrimination against refugees decisively.
⚖️ Protection failures breed tension more than presence does.
7. Counter harmful narratives without legitimizing exclusion
Narratives matter—but responses must not validate xenophobia.
Recommendations
Challenge stereotypes portraying refugees as criminals or economic drains.
Highlight refugee contributions without using contribution as a condition for acceptance.
Reject narratives that suggest refugees must “earn” protection.
 Rights are not performance-based.
8. Preserve humanitarian principles in community programming
Humanitarian assistance must remain needs-based.
Recommendations
Ensure aid allocation is guided by vulnerability assessments, not local pressure.
Protect humanitarian actors from demands to reclassify host populations as refugees or “refugee-like.”
Maintain clear eligibility criteria and transparent communication.
Neutrality and impartiality are non-negotiable.
9. Address urban tensions without eroding refugee protections
Urban coexistence requires regulation—not restriction.
Recommendations
Prevent discriminatory housing practices against refugees.
Monitor informal documentation requirements that exclude refugees.
Intervene against forced evictions or rent exploitation targeting refugees.
Cities must not become zones of silent exclusion.
10. Anchor coexistence in law, dignity, and responsibility
Solidarity cannot replace obligation.
Recommendations
Frame coexistence within State responsibility, international law, and regional protection frameworks.
Emphasize that refugee presence is a consequence of conflict, not a voluntary migration choice.
Promote dignity without implying equivalence of status or risk.
Closing note (for policy or advocacy use)
Improving relations between refugees and host communities must strengthen protection, not renegotiate it. Social cohesion strategies succeed only when they respect the asymmetry of vulnerability and uphold the non-derogable rights of refugees under international and domestic law."
1/28/2026 19:22:25,B) 26-35,B) Female,A) Cameroonian,D) More than 6 years,8 years ,A) Conflict/Insecurity,B) With family,The host community is becoming very hostile ,A) Yes,A) Yes,B) Neutral,B) Attacks by locals,Economic threat ,A) Yes,B) Livelihood programs,We will integrate with the host communities and try to leave in one. 
1/28/2026 20:19:25,D) 46-60,A) Male,A) Cameroonian,D) More than 6 years,Eight years ,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,B) No,A) Friendly,A) Harassment by security forces,In adequate resources like accommodation in the border communities. Thus incredible rise in rents.,A) Yes,B) Livelihood programs,Yes. The police and the immigration officers should stop harassing refugees who are in possession of their UNHCR ID cards. Secondly they shouldn't also harass and extort those fleeing into Nigeria rather they should help them to find help from UNHCR and NCFRMI. Most times they face intimidation and extortion for lack of legal papers to enter Nigeria. They are not migrants and shouldn't be treated as such.
1/29/2026 11:49:25,A) 18-25,B) Female,B) Nigerian,D) More than 6 years, Two years before Cameroonians came to Nigeria ,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,B) Attacks by locals,SEMA ,A) Yes,B) Livelihood programs,Let the two countries be in a good relationship with each other 
1/29/2026 14:09:46,B) 26-35,B) Female,A) Cameroonian,D) More than 6 years,13 years,A) Conflict/Insecurity,B) With family,Security threai,A) Yes,A) Yes,B) Neutral,B) Attacks by locals,Arguments and fights ,A) Yes,C) Community sensitization,Preach love and peace 
1/29/2026 16:03:11,B) 26-35,B) Female,A) Cameroonian,D) More than 6 years,8years,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,arrestment on the road ,partially ,B) Livelihood programs,interaction have meetings always with they Host community and the refugee discussing more or challenges aspect 
